fixture_key,match_date,market,player,side,entry_ts,entry_odds,entry_fair_probability,close_ts,close_odds,close_fair_probability,minutes_close_before_kickoff,clv_pct,clv_pct_normalised,clean_clv_pct,clv_quality,clv_source,result
3df0b6a730e3c8cc,2026-08-22,goals,Nicolò Zaniolo,over,2026-08-18T11:23:16.502604+00:00,4.4,0.22727272727272727,2026-08-22 07:01:23+00:00,4.4,0.22727272727272727,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
dfc98c9085cbc0fb,,sot,Marcos Llorente,over,2026-08-18T11:23:16.504221+00:00,3.7,0.27027027027027023,,3.7,0.27027027027027023,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
4ab97e5dc4a391e1,,sot2,Kai Havertz,over,2026-08-18T11:23:16.507462+00:00,2.15,0.46511627906976744,,2.3,0.4347826086956522,,-0.0652,-6.52,-6.5217,OK,v9_clv_records,
9bb885fe41e5f679,2026-08-22,sot,Carlos Augusto,over,2026-08-18T11:23:16.509593+00:00,2.4,0.4166666666666667,2026-08-22 07:01:23+00:00,2.4,0.4166666666666667,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
b82e04db70ea34e1,,sot,Dominic Calvert-Lewin,over,2026-08-18T21:27:03.400350+00:00,1.43,0.6993006993006994,,,,,,,,NO_CLOSE,,
b82e04db70ea34e1,,sot,Morgan Gibbs-White,over,2026-08-18T21:27:03.401895+00:00,1.77,0.5649717514124294,,,,,,,,NO_CLOSE,,
b82e04db70ea34e1,,sot,Anton Stach,over,2026-08-18T21:27:03.407966+00:00,2.07,0.48309178743961356,,,,,,,,NO_CLOSE,,
50830b12373d633b,2026-08-23,sot,Jonathan David,over,2026-08-19T01:04:37.618363+00:00,1.31,0.7633587786259541,2026-08-23 07:02:38+00:00,1.31,0.7633587786259541,-422.6,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
c01ed155192b3c59,,sot,Bruno Fernandes,over,2026-08-19T01:04:37.620998+00:00,1.44,0.6944444444444444,,,,,,,,NO_CLOSE,,
50830b12373d633b,2026-08-23,goals,Jonathan David,over,2026-08-19T01:04:37.624387+00:00,2.4,0.4166666666666667,2026-08-23 07:02:38+00:00,2.4,0.4166666666666667,-422.6,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
50830b12373d633b,2026-08-23,sot,Manuel Locatelli,over,2026-08-19T01:04:37.625559+00:00,2.9,0.3448275862068966,2026-08-23 07:02:38+00:00,2.9,0.3448275862068966,-422.6,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
50830b12373d633b,2026-08-23,sot,Weston McKennie,over,2026-08-19T01:04:37.626491+00:00,2.15,0.46511627906976744,2026-08-23 07:02:38+00:00,2.15,0.46511627906976744,-422.6,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
50830b12373d633b,2026-08-23,sot,Andrea Cambiaso,over,2026-08-19T01:04:37.628610+00:00,2.7,0.37037037037037035,2026-08-23 07:02:38+00:00,2.7,0.37037037037037035,-422.6,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
4ab97e5dc4a391e1,,sot,Ephron Mason-Clark,over,2026-08-19T03:48:29.387810+00:00,3.05,0.3278688524590164,,2.88,0.3472222222222222,,0.059,5.9,5.9028,OK,v9_clv_records,
