segment,league,model_type,market_a,market_b,label_a,label_b,n,k_joint,p_a,p_b,p_joint,independent_joint,dependency_ratio,excess_pp,phi,joint_ci_lo,joint_ci_hi,frechet_lo,frechet_hi,frechet_ok,independence_within_ci,sample_status,calc_version
league=Argentina Primera Division,Argentina Primera Division,ALL,1X,12,Home or draw,Home or away,1595,692,0.746708,0.687147,0.433856,0.513099,0.8456,-7.924,-0.393,0.409721,0.458309,0.433856,0.687147,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,X2,12,Draw or away,Home or away,1595,404,0.566144,0.687147,0.253292,0.389024,0.6511,-13.573,-0.5907,0.232558,0.27521,0.253292,0.566144,True,False,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,O15,U25,Over 1.5,Under 2.5,606,154,0.760726,0.493399,0.254125,0.375342,0.6771,-12.122,-0.5683,0.221085,0.290263,0.254125,0.493399,True,False,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,O15,U35,Over 1.5,Under 3.5,606,293,0.760726,0.722772,0.483498,0.549832,0.8794,-6.633,-0.3473,0.44394,0.523265,0.483498,0.722772,True,False,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,O15,BTTS_NO,Over 1.5,BTTS No,606,144,0.760726,0.476898,0.237624,0.362789,0.655,-12.516,-0.5874,0.205455,0.273098,0.237624,0.476898,True,False,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,O15,HOME,Over 1.5,Home win,606,194,0.760726,0.412541,0.320132,0.313831,1.0201,0.63,0.03,0.28422,0.35831,0.173267,0.412541,True,True,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,O15,DRAW,Over 1.5,Draw,606,115,0.760726,0.268977,0.189769,0.204618,0.9274,-1.485,-0.0785,0.16054,0.222906,0.029703,0.268977,True,True,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,O15,AWAY,Over 1.5,Away win,606,152,0.760726,0.318482,0.250825,0.242277,1.0353,0.855,0.043,0.217954,0.286836,0.079208,0.318482,True,True,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,O15,1X,Over 1.5,Home or draw,606,309,0.760726,0.681518,0.509901,0.518449,0.9835,-0.855,-0.043,0.470162,0.549515,0.442244,0.681518,True,True,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,O15,X2,Over 1.5,Draw or away,606,267,0.760726,0.587459,0.440594,0.446895,0.9859,-0.63,-0.03,0.401563,0.480373,0.348185,0.587459,True,True,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,O15,12,Over 1.5,Home or away,606,346,0.760726,0.731023,0.570957,0.556108,1.0267,1.485,0.0785,0.531225,0.609795,0.491749,0.731023,True,True,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,U15,HOME,Under 1.5,Home win,606,56,0.239274,0.412541,0.092409,0.09871,0.9362,-0.63,-0.03,0.071849,0.118105,0.0,0.239274,True,True,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,U15,DRAW,Under 1.5,Draw,606,48,0.239274,0.268977,0.079208,0.064359,1.2307,1.485,0.0785,0.060261,0.103456,0.0,0.239274,True,True,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,U15,AWAY,Under 1.5,Away win,606,41,0.239274,0.318482,0.067657,0.076204,0.8878,-0.855,-0.043,0.050261,0.090499,0.0,0.239274,True,True,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,U15,1X,Under 1.5,Home or draw,606,104,0.239274,0.681518,0.171617,0.16307,1.0524,0.855,0.043,0.143689,0.203683,0.0,0.239274,True,True,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,U15,X2,Under 1.5,Draw or away,606,89,0.239274,0.587459,0.146865,0.140564,1.0448,0.63,0.03,0.120907,0.177271,0.0,0.239274,True,True,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,U15,12,Under 1.5,Home or away,606,97,0.239274,0.731023,0.160066,0.174915,0.9151,-1.485,-0.0785,0.133027,0.191388,0.0,0.239274,True,True,RESEARCH,1.0.0
league=Austrian Bundesliga,Austrian Bundesliga,ALL,O25,U35,Over 2.5,Under 3.5,606,139,0.506601,0.722772,0.229373,0.366157,0.6264,-13.678,-0.6112,0.197665,0.26449,0.229373,0.506601,True,False,RESEARCH,1.0.0
