variant,target,metric,months,slope_per_month,ci_lo,ci_hi,kendall_tau,p_value,direction,statistically_clear,verdict
v9_path,over15,margin_vs_baseline_ll,50,0.000135,3e-06,0.000247,0.2,0.04042,IMPROVING,True,IMPROVING
v9_path,over25,log_loss,50,-4.5e-05,-0.000205,0.000154,-0.0359,0.71282,IMPROVING,False,FLAT
v9_path,over25,brier,50,-2e-05,-9.2e-05,7.7e-05,-0.0286,0.7697,IMPROVING,False,FLAT
v9_path,over25,ece,50,-0.000412,-0.000777,-4.2e-05,-0.2221,0.02289,IMPROVING,True,IMPROVING
v9_path,over25,auc,50,-5.6e-05,-0.000679,0.000515,-0.0163,0.86712,DEGRADING,False,FLAT
v9_path,over25,accuracy_lift,50,0.013034,-0.036643,0.076458,0.0686,0.48226,IMPROVING,False,FLAT
v9_path,over25,margin_vs_baseline_ll,50,1.3e-05,-0.000186,0.000161,0.0139,0.88692,IMPROVING,False,FLAT
v9_path,over35,log_loss,50,0.000365,-0.000171,0.000957,0.1314,0.17806,DEGRADING,False,FLAT
v9_path,over35,brier,50,0.000172,-6.9e-05,0.000419,0.1363,0.16243,DEGRADING,False,FLAT
v9_path,over35,ece,50,-4.2e-05,-0.000248,0.000222,-0.0269,0.78252,IMPROVING,False,FLAT
v9_path,over35,auc,50,0.0,-0.000511,0.0006,0.0,1.0,DEGRADING,False,FLAT
v9_path,over35,accuracy_lift,50,0.000538,-0.010517,0.010917,0.033,0.73734,IMPROVING,False,FLAT
v9_path,over35,margin_vs_baseline_ll,50,-2.2e-05,-0.000155,0.000115,-0.0253,0.7954,DEGRADING,False,FLAT
