variant,month,target,dataset_id,retrain_id,train_start,train_end,n_train,n_test,target_prevalence,majority_accuracy,accuracy,accuracy_lift,auc,pr_auc,brier,log_loss,ece,baseline_log_loss,baseline_brier,margin_vs_baseline_ll,mean_predicted,mean_actual,model_age_months,gate_decision,interpretable
v9_path,2023-03,over35,084e417e4765,v9_path:2023-03,2019-02-22,2023-02-28,17767,408,0.2623,0.7377,0.7377,0.0,0.5517,0.3325,0.19246,0.57415,0.03062,0.58007,0.19545,0.00591,0.2663,0.2623,0,PROMOTE,True
v9_path,2023-04,btts,9a7eae19561c,v9_path:2023-04,2019-02-22,2023-03-31,18175,851,0.4982,0.5018,0.5546,5.288,0.5577,0.5574,0.24659,0.68619,0.02102,0.69905,0.25289,0.01286,0.5174,0.4982,0,PROMOTE,True
v9_path,2023-04,over15,9a7eae19561c,v9_path:2023-04,2019-02-22,2023-03-31,18175,851,0.7438,0.7438,0.7438,0.0,0.5838,0.8075,0.18799,0.5612,0.01451,0.57316,0.19204,0.01196,0.7382,0.7438,0,PROMOTE,True
v9_path,2023-04,over25,9a7eae19561c,v9_path:2023-04,2019-02-22,2023-03-31,18175,851,0.4665,0.5335,0.5276,-0.588,0.5513,0.5306,0.2471,0.68692,0.04985,0.70405,0.25538,0.01713,0.4874,0.4665,0,PROMOTE,True
v9_path,2023-04,over35,9a7eae19561c,v9_path:2023-04,2019-02-22,2023-03-31,18175,851,0.2444,0.7556,0.7556,0.0,0.5911,0.3251,0.18145,0.54756,0.03386,0.55648,0.18503,0.00892,0.271,0.2444,0,PROMOTE,True
v9_path,2023-05,btts,f51251bffb34,v9_path:2023-05,2019-02-22,2023-04-30,19026,866,0.53,0.53,0.5543,2.425,0.5845,0.5983,0.2431,0.67924,0.02261,0.68491,0.2459,0.00567,0.5314,0.53,0,PROMOTE,True
v9_path,2023-05,over15,f51251bffb34,v9_path:2023-05,2019-02-22,2023-04-30,19026,866,0.7402,0.7402,0.739,-0.115,0.6022,0.8048,0.18763,0.56063,0.01505,0.56752,0.19022,0.00688,0.7506,0.7402,0,PROMOTE,True
v9_path,2023-05,over25,f51251bffb34,v9_path:2023-05,2019-02-22,2023-04-30,19026,866,0.5023,0.5023,0.5647,6.236,0.6136,0.5974,0.2404,0.67385,0.02675,0.68418,0.24553,0.01033,0.4957,0.5023,0,PROMOTE,True
v9_path,2023-05,over35,f51251bffb34,v9_path:2023-05,2019-02-22,2023-04-30,19026,866,0.2864,0.7136,0.7136,0.0,0.6139,0.38,0.19877,0.5846,0.03387,0.59309,0.20211,0.00849,0.2588,0.2864,0,PROMOTE,True
v9_path,2023-06,btts,9f874aea55ca,v9_path:2023-06,2019-02-22,2023-05-31,19892,515,0.5456,0.5456,0.5981,5.243,0.5999,0.6556,0.23716,0.66607,0.01882,0.69066,0.24876,0.02458,0.5526,0.5456,0,PROMOTE,True
v9_path,2023-06,over15,9f874aea55ca,v9_path:2023-06,2019-02-22,2023-05-31,19892,515,0.7398,0.7398,0.7398,0.0,0.5998,0.8066,0.18804,0.56146,0.01758,0.57236,0.19218,0.0109,0.7457,0.7398,0,PROMOTE,True
v9_path,2023-06,over25,9f874aea55ca,v9_path:2023-06,2019-02-22,2023-05-31,19892,515,0.5184,0.5184,0.5476,2.913,0.6093,0.6329,0.24039,0.67333,0.04576,0.68164,0.2443,0.00831,0.4843,0.5184,0,PROMOTE,True
v9_path,2023-06,over35,9f874aea55ca,v9_path:2023-06,2019-02-22,2023-05-31,19892,515,0.2874,0.7126,0.7223,0.971,0.6521,0.4774,0.19218,0.57,0.03445,0.59538,0.20287,0.02537,0.2684,0.2874,0,PROMOTE,True
v9_path,2023-07,btts,81785e5bdec1,v9_path:2023-07,2019-02-22,2023-06-30,20407,730,0.5137,0.5137,0.6164,10.274,0.6559,0.6575,0.23211,0.65613,0.04683,0.68026,0.24358,0.02412,0.5251,0.5137,0,PROMOTE,True
v9_path,2023-07,over15,81785e5bdec1,v9_path:2023-07,2019-02-22,2023-06-30,20407,730,0.7384,0.7384,0.7397,0.137,0.632,0.813,0.18399,0.55241,0.04023,0.55696,0.18623,0.00455,0.7414,0.7384,0,PROMOTE,True
v9_path,2023-07,over25,81785e5bdec1,v9_path:2023-07,2019-02-22,2023-06-30,20407,730,0.4781,0.5219,0.6082,8.63,0.6398,0.6134,0.23471,0.66155,0.03203,0.66912,0.23808,0.00757,0.4897,0.4781,0,PROMOTE,True
v9_path,2023-07,over35,81785e5bdec1,v9_path:2023-07,2019-02-22,2023-06-30,20407,730,0.2685,0.7315,0.7384,0.685,0.6244,0.3922,0.1882,0.56052,0.01423,0.57489,0.19361,0.01437,0.2658,0.2685,0,PROMOTE,True
v9_path,2023-08,btts,e30939c8c5f4,v9_path:2023-08,2019-02-22,2023-07-31,21137,1150,0.4896,0.5104,0.5322,2.174,0.5671,0.5602,0.24681,0.68642,0.0418,1.50813,0.26587,0.82171,0.5285,0.4896,0,PROMOTE,True
v9_path,2023-08,over15,e30939c8c5f4,v9_path:2023-08,2019-02-22,2023-07-31,21137,1150,0.7443,0.7443,0.747,0.261,0.5934,0.8007,0.18509,0.55551,0.00849,0.5723,0.19233,0.01678,0.7506,0.7443,0,PROMOTE,True
v9_path,2023-08,over25,e30939c8c5f4,v9_path:2023-08,2019-02-22,2023-07-31,21137,1150,0.5165,0.5165,0.5487,3.217,0.5674,0.5795,0.24634,0.68556,0.03053,1.67824,0.26608,0.99267,0.5047,0.5165,0,PROMOTE,True
v9_path,2023-08,over35,e30939c8c5f4,v9_path:2023-08,2019-02-22,2023-07-31,21137,1150,0.2704,0.7296,0.7339,0.435,0.5854,0.35,0.19311,0.57244,0.01422,0.97684,0.20015,0.40441,0.281,0.2704,0,PROMOTE,True
v9_path,2023-09,btts,ef7b512d8240,v9_path:2023-09,2019-02-22,2023-08-31,22287,1468,0.5586,0.5586,0.5416,-1.703,0.5628,0.6332,0.24377,0.68007,0.04444,0.728,0.26293,0.04793,0.5286,0.5586,0,PROMOTE,True
v9_path,2023-09,over15,ef7b512d8240,v9_path:2023-09,2019-02-22,2023-08-31,22287,1468,0.7657,0.7657,0.767,0.136,0.5934,0.8237,0.17612,0.53505,0.01691,0.55613,0.18323,0.02108,0.7501,0.7657,0,PROMOTE,True
v9_path,2023-09,over25,ef7b512d8240,v9_path:2023-09,2019-02-22,2023-08-31,22287,1468,0.5245,0.5245,0.5497,2.52,0.5794,0.603,0.24447,0.6818,0.0254,0.70569,0.25443,0.02389,0.5171,0.5245,0,PROMOTE,True
v9_path,2023-09,over35,ef7b512d8240,v9_path:2023-09,2019-02-22,2023-08-31,22287,1468,0.3025,0.6975,0.6948,-0.272,0.6156,0.3929,0.20418,0.59595,0.02347,0.62046,0.21347,0.02451,0.2917,0.3025,0,PROMOTE,True
v9_path,2023-10,btts,82a0364cf3d5,v9_path:2023-10,2019-02-22,2023-09-30,23755,1408,0.5163,0.5163,0.5618,4.545,0.5988,0.6291,0.24164,0.6757,0.03102,0.69569,0.2512,0.01999,0.5407,0.5163,0,PROMOTE,True
