policy,target,month,adopted,val_champ,val_cand,next_month_live,next_month_challenger
must_improve_tol002,btts,2024-03,True,0.65821,0.63913,0.68218,0.68218
v9_rule_6m_window,btts,2024-03,True,0.65111,0.64154,0.68218,0.68218
two_window_tol005,btts,2024-03,False,0.66526,0.63913,0.68329,0.68218
always_promote,btts,2024-04,True,0.65431,0.6491,0.67491,0.67491
never_promote,btts,2024-04,False,0.69167,0.6491,0.69101,0.67491
v9_current_tol005,btts,2024-04,True,0.65431,0.6491,0.67491,0.67491
not_worse_tol000,btts,2024-04,True,0.65431,0.6491,0.67491,0.67491
must_improve_tol000,btts,2024-04,True,0.65431,0.6491,0.67491,0.67491
must_improve_tol002,btts,2024-04,True,0.65431,0.6491,0.67491,0.67491
v9_rule_6m_window,btts,2024-04,True,0.6493,0.65051,0.67491,0.67491
two_window_tol005,btts,2024-04,False,0.68018,0.6491,0.67813,0.67491
always_promote,btts,2024-05,True,0.66041,0.63198,0.66357,0.66357
never_promote,btts,2024-05,False,0.69397,0.63198,0.68489,0.66357
v9_current_tol005,btts,2024-05,True,0.66041,0.63198,0.66357,0.66357
not_worse_tol000,btts,2024-05,True,0.66041,0.63198,0.66357,0.66357
must_improve_tol000,btts,2024-05,True,0.66041,0.63198,0.66357,0.66357
must_improve_tol002,btts,2024-05,True,0.66041,0.63198,0.66357,0.66357
v9_rule_6m_window,btts,2024-05,True,0.65732,0.63288,0.66357,0.66357
two_window_tol005,btts,2024-05,True,0.67907,0.63198,0.66357,0.66357
always_promote,btts,2024-06,True,0.64182,0.63895,0.65803,0.65803
never_promote,btts,2024-06,False,0.69208,0.63895,0.68219,0.65803
v9_current_tol005,btts,2024-06,True,0.64182,0.63895,0.65803,0.65803
not_worse_tol000,btts,2024-06,True,0.64182,0.63895,0.65803,0.65803
must_improve_tol000,btts,2024-06,True,0.64182,0.63895,0.65803,0.65803
must_improve_tol002,btts,2024-06,True,0.64182,0.63895,0.65803,0.65803
v9_rule_6m_window,btts,2024-06,True,0.63733,0.64104,0.65803,0.65803
two_window_tol005,btts,2024-06,False,0.64182,0.63895,0.66524,0.65803
always_promote,btts,2024-07,True,0.63977,0.62425,0.66264,0.66264
never_promote,btts,2024-07,False,0.68747,0.62425,0.67899,0.66264
v9_current_tol005,btts,2024-07,True,0.63977,0.62425,0.66264,0.66264
not_worse_tol000,btts,2024-07,True,0.63977,0.62425,0.66264,0.66264
must_improve_tol000,btts,2024-07,True,0.63977,0.62425,0.66264,0.66264
must_improve_tol002,btts,2024-07,True,0.63977,0.62425,0.66264,0.66264
v9_rule_6m_window,btts,2024-07,True,0.64053,0.63102,0.66264,0.66264
two_window_tol005,btts,2024-07,False,0.64778,0.62425,0.65548,0.66264
always_promote,btts,2024-08,True,0.62672,0.59454,0.67025,0.67025
never_promote,btts,2024-08,False,0.68268,0.59454,0.70063,0.67025
v9_current_tol005,btts,2024-08,True,0.62672,0.59454,0.67025,0.67025
not_worse_tol000,btts,2024-08,True,0.62672,0.59454,0.67025,0.67025
must_improve_tol000,btts,2024-08,True,0.62672,0.59454,0.67025,0.67025
must_improve_tol002,btts,2024-08,True,0.62672,0.59454,0.67025,0.67025
v9_rule_6m_window,btts,2024-08,True,0.63342,0.61199,0.67025,0.67025
two_window_tol005,btts,2024-08,True,0.66176,0.59454,0.67025,0.67025
always_promote,btts,2024-09,True,0.62866,0.63244,0.67292,0.67292
never_promote,btts,2024-09,False,0.69094,0.63244,0.69273,0.67292
v9_current_tol005,btts,2024-09,True,0.62866,0.63244,0.67292,0.67292
not_worse_tol000,btts,2024-09,False,0.62866,0.63244,0.67411,0.67292
