policy,target,month,n_test,live_log_loss,live_brier,challenger_log_loss,adopted
not_worse_tol000,btts,2025-02,1180,0.67312,0.24065,0.67312,True
must_improve_tol000,btts,2025-02,1180,0.67312,0.24065,0.67312,True
must_improve_tol002,btts,2025-02,1180,0.67075,0.23958,0.67312,False
v9_rule_6m_window,btts,2025-02,1180,0.67075,0.23958,0.67312,False
two_window_tol005,btts,2025-02,1180,0.67182,0.2401,0.67312,False
always_promote,btts,2025-03,1333,0.67869,0.24302,0.67869,True
never_promote,btts,2025-03,1333,0.69585,0.25123,0.67869,False
v9_current_tol005,btts,2025-03,1333,0.67869,0.24302,0.67869,True
not_worse_tol000,btts,2025-03,1333,0.67869,0.24302,0.67869,True
must_improve_tol000,btts,2025-03,1333,0.67869,0.24302,0.67869,True
must_improve_tol002,btts,2025-03,1333,0.67869,0.24302,0.67869,True
v9_rule_6m_window,btts,2025-03,1333,0.67869,0.24302,0.67869,True
two_window_tol005,btts,2025-03,1333,0.67869,0.24302,0.67869,True
always_promote,btts,2025-04,1570,0.67397,0.2408,0.67397,True
never_promote,btts,2025-04,1570,0.68872,0.24776,0.67397,False
v9_current_tol005,btts,2025-04,1570,0.67397,0.2408,0.67397,True
not_worse_tol000,btts,2025-04,1570,0.67397,0.2408,0.67397,True
must_improve_tol000,btts,2025-04,1570,0.67397,0.2408,0.67397,True
must_improve_tol002,btts,2025-04,1570,0.67397,0.2408,0.67397,True
v9_rule_6m_window,btts,2025-04,1570,0.67397,0.2408,0.67397,True
two_window_tol005,btts,2025-04,1570,0.67397,0.2408,0.67397,True
always_promote,btts,2025-05,1172,0.67377,0.24084,0.67377,True
never_promote,btts,2025-05,1172,0.69075,0.24869,0.67377,False
v9_current_tol005,btts,2025-05,1172,0.67377,0.24084,0.67377,True
not_worse_tol000,btts,2025-05,1172,0.67377,0.24084,0.67377,True
must_improve_tol000,btts,2025-05,1172,0.67377,0.24084,0.67377,True
must_improve_tol002,btts,2025-05,1172,0.67377,0.24084,0.67377,True
v9_rule_6m_window,btts,2025-05,1172,0.67377,0.24084,0.67377,True
two_window_tol005,btts,2025-05,1172,0.6762,0.24199,0.67377,False
always_promote,btts,2025-06,295,0.67422,0.24085,0.67422,True
never_promote,btts,2025-06,295,0.69218,0.24937,0.67422,False
v9_current_tol005,btts,2025-06,295,0.67422,0.24085,0.67422,True
not_worse_tol000,btts,2025-06,295,0.67422,0.24085,0.67422,True
must_improve_tol000,btts,2025-06,295,0.67422,0.24085,0.67422,True
must_improve_tol002,btts,2025-06,295,0.67422,0.24085,0.67422,True
v9_rule_6m_window,btts,2025-06,295,0.67422,0.24085,0.67422,True
two_window_tol005,btts,2025-06,295,0.67422,0.24085,0.67422,True
always_promote,btts,2025-07,449,0.66856,0.23806,0.66856,True
