label,n,base_rate,rock_accuracy,model_accuracy,lift_pp,balanced_accuracy,precision,recall,f1,threshold,log_loss,brier,auc,pr_auc,ece,rock_log_loss,rock_brier,calc_version,log_loss_gain,brier_gain,threshold_bal,accuracy_at_p50,tp,fp,fn,tn,variant,target,mode,note,train_rows,test_rows,group
C_v9_plus_recent_incremental/over25,11239,0.5249577364534211,0.5249577364534211,0.5649968858439363,4.003914939051512,0.5674143574147383,0.5988656366125562,0.5189830508474577,0.5560700989739399,0.5200000000000004,0.6748289430872056,0.24119560986732977,0.5980366094075892,0.6190246572601391,0.01915651310150923,0.6919008855056346,0.2493771113911216,1.0.0,0.01707194241842891,0.008181501523791823,0.5200000000000004,0.5702464632084705,3062,2051,2838,3288,C_v9_plus_recent_incremental,over25,universe,incremental fixtures newer than 3 years,45160,11239,core
C_v9_plus_recent_incremental/over35,11239,0.2949550671767951,0.7050449328232049,0.7088708959871874,0.38259631639825376,0.5684835499842775,0.37364798426745327,0.45852187028657615,0.41175673845320326,0.4700000000000001,0.5899158071354826,0.20111350526518043,0.6044962208857448,0.39415121774491035,0.012405064256330955,0.6065289465410888,0.20795657552352742,1.0.0,0.01661313940560616,0.006843070258346989,0.29999999999999993,0.7095827030874633,1520,2548,1795,5376,C_v9_plus_recent_incremental,over35,universe,incremental fixtures newer than 3 years,45160,11239,core
D_v9_plus_hq_incremental/btts,11239,0.5479135154373165,0.5479135154373165,0.5709582703087464,2.3044754871429873,0.5539646169852865,0.5966277561608301,0.597596622279961,0.5971117962031478,0.4900000000000002,0.671637319113015,0.2398478068562792,0.5846010127969761,0.6418987752283049,0.015338213220453433,0.6885487176829643,0.24770429503843802,1.0.0,0.016911398569949276,0.00785648818215881,0.5300000000000002,0.5714921256339532,3680,2488,2478,2593,D_v9_plus_hq_incremental,btts,universe,incremental fixtures in the MARKET/STANDARD_PLUS tiers,61235,11239,core
D_v9_plus_hq_incremental/over15,11239,0.7601210072070469,0.7601210072070469,0.7627013079455468,0.25803007384999077,0.5556718265183879,0.7860470401090786,0.809785789535292,0.7977398523985239,0.5600000000000005,0.5363168719972223,0.17697406137507068,0.6069382033497153,0.8259618739832267,0.012990018750372489,0.5509404054151366,0.18233706160959146,1.0.0,0.014623533417914225,0.005363000234520771,0.7000000000000003,0.7627013079455468,6918,1883,1625,813,D_v9_plus_hq_incremental,over15,universe,incremental fixtures in the MARKET/STANDARD_PLUS tiers,61235,11239,core
D_v9_plus_hq_incremental/over25,11239,0.5249577364534211,0.5249577364534211,0.5614378503425572,3.648011388913608,0.5629642604309193,0.5924297457465112,0.5252542372881356,0.5568232863174918,0.5200000000000004,0.6736055290745411,0.2405863660622477,0.5995214300906981,0.6214232948338465,0.016604197635062577,0.6919008855056346,0.2493771113911216,1.0.0,0.01829535643109348,0.008790745328873889,0.5300000000000002,0.5676661624699706,3099,2132,2801,3207,D_v9_plus_hq_incremental,over25,universe,incremental fixtures in the MARKET/STANDARD_PLUS tiers,61235,11239,core
D_v9_plus_hq_incremental/over35,11239,0.2949550671767951,0.7050449328232049,0.7075362576741703,0.24913248509653707,0.5648885376384857,0.36741519350215,0.46395173453996985,0.4100786561791761,0.44,0.5899730626809351,0.20114632652440473,0.6034841552821183,0.3932430557391246,0.019999316438956076,0.6065289465410888,0.20795657552352742,1.0.0,0.01655588386015372,0.006810248999122692,0.29999999999999993,0.7083370406619806,1538,2648,1777,5276,D_v9_plus_hq_incremental,over35,universe,incremental fixtures in the MARKET/STANDARD_PLUS tiers,61235,11239,core
E_v9_plus_recent_hq/btts,11239,0.5479135154373165,0.5479135154373165,0.5732716433846428,2.535812794732628,0.5549904633600817,0.6058256099867599,0.5201364079246509,0.5597204019222367,0.4800000000000002,0.6689885649943403,0.23872860166535792,0.587572747281631,0.6463706766161739,0.017250002244252882,0.6885487176829643,0.24770429503843802,1.0.0,0.01956015268862399,0.008975693373080101,0.5400000000000001,0.5691787525580567,3203,2084,2955,2997,E_v9_plus_recent_hq,btts,universe,both filters,45126,11239,core
E_v9_plus_recent_hq/over15,11239,0.7601210072070469,0.7601210072070469,0.7582525135688228,-0.18684936382240558,0.5586900497431218,0.7877223178427998,0.8035818799016738,0.7955730675628693,0.6000000000000004,0.5353175748545637,0.17663855802394549,0.6121889144495415,0.8296329126079333,0.015047849363878782,0.5509404054151366,0.18233706160959146,1.0.0,0.015622830560572898,0.00569850358564597,0.7000000000000003,0.761811549070202,6865,1850,1678,846,E_v9_plus_recent_hq,over15,universe,both filters,45126,11239,core
E_v9_plus_recent_hq/over25,11239,0.5249577364534211,0.5249577364534211,0.5686448972328499,4.36871607794288,0.5637130834505287,0.5869188063844553,0.5733898305084746,0.5800754458161865,0.4900000000000002,0.6740990576641669,0.24082878237409067,0.5994145732870689,0.620914704114324,0.013677341486594989,0.6919008855056346,0.2493771113911216,1.0.0,0.017801827841467666,0.008548329017030926,0.5100000000000001,0.566420500044488,3383,2381,2517,2958,E_v9_plus_recent_hq,over25,universe,both filters,45126,11239,core
E_v9_plus_recent_hq/over35,11239,0.2949550671767951,0.7050449328232049,0.7048669810481359,-0.017795177506896298,0.5645545007891714,0.3675974963890226,0.4606334841628959,0.4088900789931717,0.46,0.5922759245671639,0.2020969646503887,0.5990703538822433,0.3862982298114569,0.018216938857112373,0.6065289465410888,0.20795657552352742,1.0.0,0.014253021973924862,0.005859610873138715,0.29999999999999993,0.7063795711362221,1527,2627,1788,5297,E_v9_plus_recent_hq,over35,universe,both filters,45126,11239,core
