variant,month,target,val_logloss_champion,val_logloss_challenger,decision,next_month_logloss_active,next_month_logloss_challenger,next_month_logloss_incumbent,challenger_better_next_month,decision_was_correct,regret_logloss,champion_month,train_rows
v9_path,2023-03,btts,0.651232810924698,0.5916371505798438,PROMOTE,0.6945276396877575,0.6945276396877575,0.6869238295014334,False,False,0.007603810186324167,2023-03,17767
v9_path,2023-03,over15,0.5322041261372485,0.5009431671298543,PROMOTE,0.5619848612931309,0.5619848612931309,0.5566147642518139,False,False,0.005370097041316968,2023-03,17767
v9_path,2023-03,over25,0.6409541692434325,0.6113749412537853,PROMOTE,0.6859375179170163,0.6859375179170163,0.6906927615353327,True,True,0.0,2023-03,17767
v9_path,2023-03,over35,0.509868626949475,0.49285300873278515,PROMOTE,0.5741536552364946,0.5741536552364946,0.5829971933697886,True,True,0.0,2023-03,17767
v9_path,2023-04,btts,0.6396660705273238,0.6079227266815136,PROMOTE,0.6861859051645188,0.6861859051645188,0.6886327899674878,True,True,0.0,2023-04,18175
v9_path,2023-04,over15,0.5385754580525067,0.5026041826045478,PROMOTE,0.5612009737245603,0.5612009737245603,0.5672831598056992,True,True,0.0,2023-04,18175
v9_path,2023-04,over25,0.6449648917929293,0.6009973508373317,PROMOTE,0.6869165683295037,0.6869165683295037,0.689051350427704,True,True,0.0,2023-04,18175
v9_path,2023-04,over35,0.5259894365146377,0.4993620693632198,PROMOTE,0.5475621874460027,0.5475621874460027,0.5483511293854364,True,True,0.0,2023-04,18175
v9_path,2023-05,btts,0.6500421737447274,0.5779259027301147,PROMOTE,0.6792408326494015,0.6792408326494015,0.68065323149238,True,True,0.0,2023-05,19026
v9_path,2023-05,over15,0.5326069326022793,0.5098950747898745,PROMOTE,0.5606334262795805,0.5606334262795805,0.5656268402125951,True,True,0.0,2023-05,19026
v9_path,2023-05,over25,0.6474394327731801,0.6045526640840796,PROMOTE,0.6738472753895018,0.6738472753895018,0.6838298850243837,True,True,0.0,2023-05,19026
