variant,month,target,n_train,n_test,prevalence,log_loss,brier,auc,pr_auc,ece,baseline_log_loss,baseline_pr_auc,margin_vs_baseline_ll,interpretable
frozen,2025-09,scored,211531,10537,0.0766,0.23706,0.06563,0.7651,0.2157,0.01237,0.24928,0.1383,0.01222,True
frozen,2025-10,scored,222068,13933,0.0721,0.21864,0.06129,0.7989,0.2265,0.01447,0.24046,0.1296,0.02182,True
frozen,2025-11,scored,236001,15369,0.0753,0.22882,0.06414,0.7894,0.2179,0.01717,0.24979,0.1301,0.02097,True
frozen,2025-12,scored,251370,12752,0.074,0.22894,0.06344,0.7756,0.2088,0.01287,0.24447,0.1284,0.01553,True
frozen,2026-01,scored,264122,14504,0.0781,0.23925,0.06634,0.769,0.2281,0.01452,0.25677,0.1337,0.01752,True
frozen,2026-02,scored,278626,12798,0.0804,0.24608,0.06799,0.7601,0.2361,0.0144,0.26043,0.1354,0.01435,True
frozen,2026-03,scored,291424,12945,0.0762,0.24212,0.06578,0.7388,0.2029,0.00883,0.25179,0.1328,0.00967,True
frozen,2026-04,scored,304369,13110,0.0799,0.25274,0.06868,0.7276,0.2179,0.0098,0.25967,0.1435,0.00693,True
frozen,2026-05,scored,317479,9498,0.0823,0.25773,0.07051,0.7302,0.2145,0.01016,0.25999,0.1477,0.00226,True
frozen,2026-06,scored,326977,3708,0.0804,0.26589,0.07254,0.6962,0.1659,0.02101,0.25698,0.1405,-0.00891,True
frozen,2026-07,scored,330685,1260,0.0746,0.24085,0.06553,0.7373,0.1951,0.0101,0.24552,0.1293,0.00466,True
frozen,2026-08,scored,331945,5914,0.0884,0.28362,0.07741,0.688,0.1963,0.02344,0.27781,0.1619,-0.00581,True
frozen,2026-09,scored,337859,9217,0.0872,0.27688,0.07628,0.7075,0.1918,0.01845,0.27319,0.165,-0.00369,True
